Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Arrivals (Tonnes),Price Date
27,Vellore,vellore_market,Tomato,Local,FAQ,2369,2901,2621,92.9,01 Feb 2026
28,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2247,2844,2589,124.24,01 Feb 2026
29,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1735,2099,1955,149.31,01 Jan 2025
30,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1904,2402,2188,123.87,01 Jan 2025
31,Vellore,vellore_market,Tomato,Local,FAQ,1908,2376,2095,118.09,01 Jan 2025
32,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1385,1744,1610,205.74,01 Jan 2025
33,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2175,2760,2404,112.59,01 Jan 2026
34,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2180,2719,2408,97.24,01 Jan 2026
35,Vellore,vellore_market,Tomato,Local,FAQ,1754,2165,2009,122.01,01 Jan 2026
36,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1384,1778,1592,203.42,01 Jan 2026
37,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1428,1790,1627,79.76,01 Jul 2025
38,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1698,2030,1891,79.74,01 Jul 2025
39,Vellore,vellore_market,Tomato,Local,FAQ,1520,1931,1762,56.26,01 Jul 2025
40,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1471,1844,1688,84.1,01 Jul 2025
41,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1451,1856,1619,84.08,01 Jul 2026
42,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1583,1832,1706,80.34,01 Jul 2026
43,Vellore,vellore_market,Tomato,Local,FAQ,1359,1784,1557,75.62,01 Jul 2026
44,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1960,2419,2209,104.61,01 Jul 2026
45,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1383,1705,1591,112.52,01 Jun 2025
46,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1054,1292,1134,202.23,01 Jun 2025
47,Vellore,vellore_market,Tomato,Local,FAQ,1986,2452,2177,58.67,01 Jun 2025
48,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1633,2075,1858,98.61,01 Jun 2025
49,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1514,1908,1712,103.01,01 Jun 2026
50,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2015,2569,2267,71.55,01 Jun 2026
51,Vellore,vellore_market,Tomato,Local,FAQ,1882,2346,2144,60.98,01 Jun 2026
52,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1635,1996,1819,120.37,01 Jun 2026
53,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2011,2510,2183,153.37,01 Mar 2025
54,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1870,2332,2049,176.8,01 Mar 2025
55,Vellore,vellore_market,Tomato,Local,FAQ,1679,2090,1927,147.62,01 Mar 2025
56,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2345,2890,2633,127.0,01 Mar 2025
57,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2965,3613,3253,80.59,01 Mar 2026
58,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2446,3011,2725,129.64,01 Mar 2026
59,Vellore,vellore_market,Tomato,Local,FAQ,2578,3245,2938,76.68,01 Mar 2026
60,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1970,2352,2136,175.39,01 Mar 2026
61,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1555,2021,1785,151.64,01 May 2025
62,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2089,2572,2254,97.23,01 May 2025
63,Vellore,vellore_market,Tomato,Local,FAQ,1921,2422,2130,99.89,01 May 2025
64,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1485,1918,1680,174.45,01 May 2025
65,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1797,2173,1991,132.41,01 May 2026
66,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2178,2756,2456,87.68,01 May 2026
67,Vellore,vellore_market,Tomato,Local,FAQ,1690,2179,1903,122.69,01 May 2026
68,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1929,2573,2238,99.88,01 May 2026
69,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1672,1997,1814,90.48,01 Nov 2025
70,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1074,1267,1173,148.7,01 Nov 2025
71,Vellore,vellore_market,Tomato,Local,FAQ,1114,1414,1230,131.29,01 Nov 2025
72,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1318,1656,1468,128.6,01 Nov 2025
73,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1433,1799,1610,74.71,01 Oct 2025
74,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1142,1389,1285,104.26,01 Oct 2025
75,Vellore,vellore_market,Tomato,Local,FAQ,1554,1973,1752,48.23,01 Oct 2025
76,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1593,1973,1808,60.76,01 Oct 2025
77,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1199,1387,1292,91.03,01 Sep 2025
78,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1143,1456,1291,86.3,01 Sep 2025
79,Vellore,vellore_market,Tomato,Local,FAQ,1241,1449,1336,76.13,01 Sep 2025
80,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1121,1401,1277,84.84,01 Sep 2025
81,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2096,2555,2376,129.24,02 Apr 2025
82,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2491,3244,2877,105.55,02 Apr 2025
83,Vellore,vellore_market,Tomato,Local,FAQ,2177,2698,2456,103.87,02 Apr 2025
84,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2208,2887,2518,110.51,02 Apr 2025
85,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2090,2745,2414,123.42,02 Apr 2026
86,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2316,2754,2530,101.09,02 Apr 2026
87,Vellore,vellore_market,Tomato,Local,FAQ,1905,2297,2113,112.16,02 Apr 2026
88,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2192,2608,2430,126.06,02 Apr 2026
89,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1222,1564,1414,81.78,02 Aug 2025
90,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1354,1669,1479,69.86,02 Aug 2025
91,Vellore,vellore_market,Tomato,Local,FAQ,1320,1597,1483,54.68,02 Aug 2025
92,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1323,1549,1445,73.24,02 Aug 2025
93,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1265,1637,1438,68.51,02 Aug 2026
94,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1256,1511,1371,84.9,02 Aug 2026
95,Vellore,vellore_market,Tomato,Local,FAQ,1239,1615,1430,60.86,02 Aug 2026
96,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1759,2156,1938,122.79,02 Aug 2026
97,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1473,1765,1588,149.99,02 Dec 2025
98,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1436,1751,1565,155.08,02 Dec 2025
99,Vellore,vellore_market,Tomato,Local,FAQ,1626,1936,1807,98.41,02 Dec 2025
100,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1331,1702,1519,164.88,02 Dec 2025
101,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2041,2565,2292,144.63,02 Feb 2025
102,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1990,2539,2301,145.36,02 Feb 2025
103,Vellore,vellore_market,Tomato,Local,FAQ,2127,2543,2372,111.63,02 Feb 2025
104,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2145,2809,2452,120.24,02 Feb 2025
105,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1594,2058,1826,182.59,02 Feb 2026
106,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1943,2388,2176,137.52,02 Feb 2026
107,Vellore,vellore_market,Tomato,Local,FAQ,2395,2948,2587,96.98,02 Feb 2026
108,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1888,2375,2190,170.05,02 Feb 2026
109,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1815,2251,2039,142.39,02 Jan 2025
110,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2006,2581,2260,115.51,02 Jan 2025
111,Vellore,vellore_market,Tomato,Local,FAQ,1735,2146,1931,128.24,02 Jan 2025
112,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1514,1857,1634,212.43,02 Jan 2025
113,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1787,2283,2060,167.68,02 Jan 2026
114,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1873,2315,2022,131.48,02 Jan 2026
115,Vellore,vellore_market,Tomato,Local,FAQ,1654,2046,1858,134.78,02 Jan 2026
116,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1403,1805,1574,203.47,02 Jan 2026
117,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1319,1656,1498,98.13,02 Jul 2025
118,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1630,1947,1765,80.46,02 Jul 2025
119,Vellore,vellore_market,Tomato,Local,FAQ,1375,1610,1490,77.56,02 Jul 2025
120,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1631,1903,1760,79.03,02 Jul 2025
121,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1512,1774,1631,80.58,02 Jul 2026
122,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1378,1658,1491,108.2,02 Jul 2026
123,Vellore,vellore_market,Tomato,Local,FAQ,1453,1814,1690,62.01,02 Jul 2026
124,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1890,2385,2195,93.34,02 Jul 2026
125,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1741,2046,1888,86.06,02 Jun 2025
126,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1897,2381,2078,69.87,02 Jun 2025
127,Vellore,vellore_market,Tomato,Local,FAQ,1572,2037,1785,80.02,02 Jun 2025
128,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1895,2476,2177,67.01,02 Jun 2025
129,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1496,1839,1689,97.78,02 Jun 2026
130,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2257,2655,2454,63.59,02 Jun 2026
131,Vellore,vellore_market,Tomato,Local,FAQ,1970,2507,2235,59.15,02 Jun 2026
132,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1671,2041,1896,111.25,02 Jun 2026
133,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1967,2330,2141,161.43,02 Mar 2025
134,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2279,2673,2476,122.35,02 Mar 2025
135,Vellore,vellore_market,Tomato,Local,FAQ,2174,2781,2459,93.7,02 Mar 2025
136,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1800,2326,2040,195.35,02 Mar 2025
137,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1672,2201,1919,199.01,02 Mar 2026
138,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2655,3279,3018,116.07,02 Mar 2026
139,Vellore,vellore_market,Tomato,Local,FAQ,1752,2194,2022,156.91,02 Mar 2026
140,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2374,2970,2680,119.46,02 Mar 2026
141,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2317,2711,2520,84.9,02 May 2025
142,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1740,2199,2013,116.88,02 May 2025
143,Vellore,vellore_market,Tomato,Local,FAQ,1776,2186,1938,119.79,02 May 2025
144,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1418,1774,1625,172.44,02 May 2025
145,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1577,1953,1784,161.22,02 May 2026
146,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1883,2346,2180,102.88,02 May 2026
147,Vellore,vellore_market,Tomato,Local,FAQ,1956,2465,2152,95.89,02 May 2026
148,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1853,2337,2149,107.6,02 May 2026
149,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1357,1708,1505,108.67,02 Nov 2025
150,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1200,1544,1373,130.62,02 Nov 2025
151,Vellore,vellore_market,Tomato,Local,FAQ,1413,1772,1585,84.42,02 Nov 2025
152,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1342,1629,1456,127.69,02 Nov 2025
153,Vellore,vellore_arakkonam,Tomato,Local,FAQ,905,1170,1031,160.16,02 Oct 2025
154,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1067,1386,1235,116.0,02 Oct 2025
155,Vellore,vellore_market,Tomato,Local,FAQ,1102,1431,1277,97.61,02 Oct 2025
156,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1346,1598,1452,85.93,02 Oct 2025
157,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1059,1294,1156,99.48,02 Sep 2025
158,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1098,1415,1239,85.16,02 Sep 2025
159,Vellore,vellore_market,Tomato,Local,FAQ,1240,1489,1388,60.88,02 Sep 2025
160,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1087,1308,1199,90.49,02 Sep 2025
161,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2155,2827,2504,120.63,03 Apr 2025
162,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2871,3415,3138,94.51,03 Apr 2025
163,Vellore,vellore_market,Tomato,Local,FAQ,1876,2275,2120,141.17,03 Apr 2025
164,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2177,2734,2446,123.42,03 Apr 2025
165,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2569,3277,2973,83.87,03 Apr 2026
166,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2050,2543,2313,112.64,03 Apr 2026
167,Vellore,vellore_market,Tomato,Local,FAQ,2078,2617,2407,88.17,03 Apr 2026
168,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2137,2677,2408,118.3,03 Apr 2026
169,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1366,1697,1539,78.52,03 Aug 2025
170,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1189,1463,1317,78.81,03 Aug 2025
171,Vellore,vellore_market,Tomato,Local,FAQ,1291,1567,1389,65.7,03 Aug 2025
172,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1277,1689,1471,81.19,03 Aug 2025
173,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1404,1781,1595,59.77,03 Aug 2026
174,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1348,1661,1511,68.32,03 Aug 2026
175,Vellore,vellore_market,Tomato,Local,FAQ,1351,1660,1535,54.89,03 Aug 2026
176,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1767,2194,1910,77.52,03 Aug 2026
177,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1574,1953,1810,124.97,03 Dec 2025
178,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1357,1745,1536,154.81,03 Dec 2025
179,Vellore,vellore_market,Tomato,Local,FAQ,1921,2436,2192,76.26,03 Dec 2025
180,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1491,1786,1624,152.15,03 Dec 2025
181,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1462,1755,1584,270.42,03 Feb 2025
182,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2242,2815,2589,115.79,03 Feb 2025
183,Vellore,vellore_market,Tomato,Local,FAQ,2232,2724,2485,91.5,03 Feb 2025
184,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2161,2708,2394,129.52,03 Feb 2025
185,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1822,2214,1959,169.36,03 Feb 2026
186,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2191,2743,2544,109.11,03 Feb 2026
187,Vellore,vellore_market,Tomato,Local,FAQ,1615,1994,1854,175.69,03 Feb 2026
188,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2418,3022,2764,113.16,03 Feb 2026
189,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1878,2350,2044,143.56,03 Jan 2025
190,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1769,2231,1995,141.29,03 Jan 2025
191,Vellore,vellore_market,Tomato,Local,FAQ,2291,2940,2607,72.81,03 Jan 2025
192,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1936,2371,2105,137.04,03 Jan 2025
193,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2130,2578,2334,137.81,03 Jan 2026
194,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1690,2208,1963,142.99,03 Jan 2026
195,Vellore,vellore_market,Tomato,Local,FAQ,2022,2447,2254,97.43,03 Jan 2026
196,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1704,2065,1927,148.36,03 Jan 2026
197,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1774,2233,2042,54.38,03 Jul 2025
198,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1642,2010,1782,68.49,03 Jul 2025
199,Vellore,vellore_market,Tomato,Local,FAQ,1499,1943,1742,55.4,03 Jul 2025
200,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1430,1780,1654,80.4,03 Jul 2025
201,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1645,2083,1909,63.94,03 Jul 2026
202,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1739,2198,2019,64.92,03 Jul 2026
203,Vellore,vellore_market,Tomato,Local,FAQ,1500,1948,1733,57.13,03 Jul 2026
204,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1975,2435,2188,97.56,03 Jul 2026
205,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1364,1695,1560,118.39,03 Jun 2025
206,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1625,1991,1832,87.74,03 Jun 2025
207,Vellore,vellore_market,Tomato,Local,FAQ,1647,2117,1848,76.84,03 Jun 2025
208,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1560,1893,1752,92.46,03 Jun 2025
209,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1852,2335,2118,68.87,03 Jun 2026
210,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1804,2281,2066,86.61,03 Jun 2026
211,Vellore,vellore_market,Tomato,Local,FAQ,1491,1906,1726,88.65,03 Jun 2026
212,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1755,2255,1963,84.61,03 Jun 2026
213,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1893,2369,2094,178.79,03 Mar 2025
214,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1836,2196,1998,186.9,03 Mar 2025
215,Vellore,vellore_market,Tomato,Local,FAQ,1832,2157,1987,142.44,03 Mar 2025
216,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2015,2640,2329,156.23,03 Mar 2025
217,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2284,2859,2531,122.17,03 Mar 2026
218,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2715,3220,2958,111.68,03 Mar 2026
219,Vellore,vellore_market,Tomato,Local,FAQ,2306,2912,2611,100.67,03 Mar 2026
220,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1855,2247,2023,184.31,03 Mar 2026
221,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1843,2239,1992,119.47,03 May 2025
222,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2032,2493,2260,92.22,03 May 2025
223,Vellore,vellore_market,Tomato,Local,FAQ,2426,2875,2655,64.3,03 May 2025
224,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,2173,2570,2386,88.16,03 May 2025
225,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1812,2256,1997,133.02,03 May 2026
226,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2234,2688,2507,78.83,03 May 2026
227,Vellore,vellore_market,Tomato,Local,FAQ,2274,2737,2489,74.23,03 May 2026
228,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1881,2414,2150,109.51,03 May 2026
229,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1252,1629,1417,123.0,03 Nov 2025
230,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1384,1792,1587,99.14,03 Nov 2025
231,Vellore,vellore_market,Tomato,Local,FAQ,1776,2159,1984,60.95,03 Nov 2025
232,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1147,1430,1247,159.32,03 Nov 2025
233,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1354,1620,1463,88.67,03 Oct 2025
234,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1056,1302,1211,112.86,03 Oct 2025
235,Vellore,vellore_market,Tomato,Local,FAQ,1101,1326,1222,101.14,03 Oct 2025
236,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1494,1800,1653,75.13,03 Oct 2025
237,Vellore,vellore_arakkonam,Tomato,Local,FAQ,957,1196,1095,116.88,03 Sep 2025
238,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,965,1199,1072,101.28,03 Sep 2025
239,Vellore,vellore_market,Tomato,Local,FAQ,1034,1226,1141,89.24,03 Sep 2025
240,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1253,1447,1350,68.64,03 Sep 2025
241,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2249,2801,2461,115.86,04 Apr 2025
242,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1899,2366,2082,179.77,04 Apr 2025
243,Vellore,vellore_market,Tomato,Local,FAQ,1980,2474,2288,118.11,04 Apr 2025
244,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1937,2499,2212,158.46,04 Apr 2025
245,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1992,2402,2159,141.74,04 Apr 2026
246,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2120,2626,2334,110.46,04 Apr 2026
247,Vellore,vellore_market,Tomato,Local,FAQ,2107,2605,2388,89.78,04 Apr 2026
248,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1876,2470,2176,152.99,04 Apr 2026
249,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1350,1586,1473,81.51,04 Aug 2025
250,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1149,1394,1270,77.17,04 Aug 2025
251,Vellore,vellore_market,Tomato,Local,FAQ,1180,1541,1364,64.26,04 Aug 2025
252,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1208,1467,1368,100.13,04 Aug 2025
253,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1294,1711,1493,64.06,04 Aug 2026
254,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1052,1368,1195,99.79,04 Aug 2026
255,Vellore,vellore_market,Tomato,Local,FAQ,1069,1373,1233,84.48,04 Aug 2026
256,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1697,2110,1918,86.99,04 Aug 2026
257,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1443,1813,1606,162.41,04 Dec 2025
258,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1253,1572,1444,170.65,04 Dec 2025
259,Vellore,vellore_market,Tomato,Local,FAQ,1917,2292,2088,85.49,04 Dec 2025
260,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1727,2149,1881,125.08,04 Dec 2025
261,Vellore,vellore_arakkonam,Tomato,Local,FAQ,2053,2407,2238,136.88,04 Feb 2025
262,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,2494,3189,2884,98.63,04 Feb 2025
263,Vellore,vellore_market,Tomato,Local,FAQ,1779,2210,1946,163.72,04 Feb 2025
264,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1963,2566,2273,141.64,04 Feb 2025
265,Vellore,vellore_arakkonam,Tomato,Local,FAQ,1579,1930,1732,226.85,04 Feb 2026
266,Vellore,vellore_gudiyatham,Tomato,Local,FAQ,1845,2316,2069,156.61,04 Feb 2026
267,Vellore,vellore_market,Tomato,Local,FAQ,2049,2569,2352,125.41,04 Feb 2026
268,Vellore,vellore_vaniyambadi,Tomato,Local,FAQ,1910,2308,2061,177.82,04 Feb 2026
