Date,Zone,Rate (Rs./100 eggs)
02-09-2025,Chennai,610
03-09-2025,Chennai,612
04-09-2025,Chennai,618
05-09-2025,Chennai,611
06-09-2025,Chennai,626
07-09-2025,Chennai,610
08-09-2025,Chennai,609
09-09-2025,Chennai,609
10-09-2025,Chennai,610
11-09-2025,Chennai,601
12-09-2025,Chennai,606
13-09-2025,Chennai,607
14-09-2025,Chennai,611
15-09-2025,Chennai,604
16-09-2025,Chennai,603
17-09-2025,Chennai,609
18-09-2025,Chennai,606
19-09-2025,Chennai,613
20-09-2025,Chennai,601
21-09-2025,Chennai,600
22-09-2025,Chennai,604
23-09-2025,Chennai,606
24-09-2025,Chennai,589
25-09-2025,Chennai,606
26-09-2025,Chennai,611
27-09-2025,Chennai,601
28-09-2025,Chennai,612
29-09-2025,Chennai,597
30-09-2025,Chennai,604
01-10-2025,Chennai,602
02-10-2025,Chennai,590
03-10-2025,Chennai,608
04-10-2025,Chennai,600
05-10-2025,Chennai,595
06-10-2025,Chennai,588
07-10-2025,Chennai,603
08-10-2025,Chennai,600
09-10-2025,Chennai,602
10-10-2025,Chennai,586
11-10-2025,Chennai,579
12-10-2025,Chennai,591
13-10-2025,Chennai,587
14-10-2025,Chennai,589
15-10-2025,Chennai,602
16-10-2025,Chennai,590
17-10-2025,Chennai,583
18-10-2025,Chennai,591
19-10-2025,Chennai,581
20-10-2025,Chennai,597
21-10-2025,Chennai,587
22-10-2025,Chennai,585
23-10-2025,Chennai,578
24-10-2025,Chennai,582
25-10-2025,Chennai,578
26-10-2025,Chennai,585
27-10-2025,Chennai,577
28-10-2025,Chennai,575
29-10-2025,Chennai,579
30-10-2025,Chennai,587
31-10-2025,Chennai,571
01-11-2025,Chennai,569
02-11-2025,Chennai,575
03-11-2025,Chennai,579
04-11-2025,Chennai,570
05-11-2025,Chennai,566
06-11-2025,Chennai,578
07-11-2025,Chennai,579
08-11-2025,Chennai,575
09-11-2025,Chennai,565
10-11-2025,Chennai,567
11-11-2025,Chennai,571
12-11-2025,Chennai,562
13-11-2025,Chennai,563
14-11-2025,Chennai,562
15-11-2025,Chennai,560
16-11-2025,Chennai,558
17-11-2025,Chennai,562
18-11-2025,Chennai,554
19-11-2025,Chennai,557
20-11-2025,Chennai,559
21-11-2025,Chennai,553
22-11-2025,Chennai,562
23-11-2025,Chennai,560
24-11-2025,Chennai,553
25-11-2025,Chennai,546
26-11-2025,Chennai,552
27-11-2025,Chennai,562
28-11-2025,Chennai,556
29-11-2025,Chennai,560
30-11-2025,Chennai,548
01-12-2025,Chennai,535
02-12-2025,Chennai,547
03-12-2025,Chennai,532
04-12-2025,Chennai,549
05-12-2025,Chennai,557
06-12-2025,Chennai,540
07-12-2025,Chennai,552
08-12-2025,Chennai,546
09-12-2025,Chennai,551
10-12-2025,Chennai,539
11-12-2025,Chennai,536
12-12-2025,Chennai,531
13-12-2025,Chennai,537
14-12-2025,Chennai,534
15-12-2025,Chennai,540
16-12-2025,Chennai,534
17-12-2025,Chennai,530
18-12-2025,Chennai,521
19-12-2025,Chennai,533
20-12-2025,Chennai,530
21-12-2025,Chennai,534
22-12-2025,Chennai,534
23-12-2025,Chennai,526
24-12-2025,Chennai,521
25-12-2025,Chennai,526
26-12-2025,Chennai,517
27-12-2025,Chennai,524
28-12-2025,Chennai,522
29-12-2025,Chennai,530
30-12-2025,Chennai,522
31-12-2025,Chennai,515
01-01-2026,Chennai,520
02-01-2026,Chennai,517
03-01-2026,Chennai,532
04-01-2026,Chennai,528
05-01-2026,Chennai,520
06-01-2026,Chennai,526
07-01-2026,Chennai,518
08-01-2026,Chennai,514
09-01-2026,Chennai,517
10-01-2026,Chennai,515
11-01-2026,Chennai,517
12-01-2026,Chennai,517
13-01-2026,Chennai,511
14-01-2026,Chennai,512
15-01-2026,Chennai,523
16-01-2026,Chennai,508
17-01-2026,Chennai,518
18-01-2026,Chennai,512
19-01-2026,Chennai,511
20-01-2026,Chennai,507
21-01-2026,Chennai,508
22-01-2026,Chennai,515
23-01-2026,Chennai,508
24-01-2026,Chennai,517
25-01-2026,Chennai,520
26-01-2026,Chennai,509
27-01-2026,Chennai,513
28-01-2026,Chennai,506
29-01-2026,Chennai,500
30-01-2026,Chennai,509
31-01-2026,Chennai,499
01-02-2026,Chennai,497
02-02-2026,Chennai,518
03-02-2026,Chennai,510
04-02-2026,Chennai,499
05-02-2026,Chennai,510
06-02-2026,Chennai,500
07-02-2026,Chennai,512
08-02-2026,Chennai,502
09-02-2026,Chennai,504
10-02-2026,Chennai,508
11-02-2026,Chennai,502
12-02-2026,Chennai,502
13-02-2026,Chennai,503
14-02-2026,Chennai,498
15-02-2026,Chennai,504
16-02-2026,Chennai,491
17-02-2026,Chennai,510
18-02-2026,Chennai,506
19-02-2026,Chennai,511
20-02-2026,Chennai,516
21-02-2026,Chennai,503
22-02-2026,Chennai,501
23-02-2026,Chennai,504
24-02-2026,Chennai,505
25-02-2026,Chennai,505
26-02-2026,Chennai,505
27-02-2026,Chennai,508
28-02-2026,Chennai,511
01-03-2026,Chennai,502
02-03-2026,Chennai,509
03-03-2026,Chennai,497
04-03-2026,Chennai,516
05-03-2026,Chennai,516
06-03-2026,Chennai,508
07-03-2026,Chennai,505
08-03-2026,Chennai,507
09-03-2026,Chennai,491
10-03-2026,Chennai,508
11-03-2026,Chennai,502
12-03-2026,Chennai,515
13-03-2026,Chennai,514
14-03-2026,Chennai,523
15-03-2026,Chennai,506
16-03-2026,Chennai,516
17-03-2026,Chennai,518
18-03-2026,Chennai,502
19-03-2026,Chennai,511
20-03-2026,Chennai,520
21-03-2026,Chennai,509
22-03-2026,Chennai,519
23-03-2026,Chennai,506
24-03-2026,Chennai,513
25-03-2026,Chennai,520
26-03-2026,Chennai,521
27-03-2026,Chennai,511
28-03-2026,Chennai,514
29-03-2026,Chennai,533
30-03-2026,Chennai,519
31-03-2026,Chennai,511
01-04-2026,Chennai,507
02-04-2026,Chennai,518
03-04-2026,Chennai,515
04-04-2026,Chennai,521
05-04-2026,Chennai,525
06-04-2026,Chennai,521
07-04-2026,Chennai,525
08-04-2026,Chennai,517
09-04-2026,Chennai,526
10-04-2026,Chennai,531
11-04-2026,Chennai,542
12-04-2026,Chennai,532
13-04-2026,Chennai,536
14-04-2026,Chennai,530
15-04-2026,Chennai,525
16-04-2026,Chennai,527
17-04-2026,Chennai,537
18-04-2026,Chennai,539
19-04-2026,Chennai,542
20-04-2026,Chennai,532
21-04-2026,Chennai,530
22-04-2026,Chennai,528
23-04-2026,Chennai,531
24-04-2026,Chennai,543
25-04-2026,Chennai,544
26-04-2026,Chennai,541
27-04-2026,Chennai,539
28-04-2026,Chennai,548
29-04-2026,Chennai,539
30-04-2026,Chennai,551
01-05-2026,Chennai,546
02-05-2026,Chennai,536
03-05-2026,Chennai,547
04-05-2026,Chennai,541
05-05-2026,Chennai,541
06-05-2026,Chennai,539
07-05-2026,Chennai,542
08-05-2026,Chennai,555
09-05-2026,Chennai,552
10-05-2026,Chennai,553
11-05-2026,Chennai,548
12-05-2026,Chennai,560
13-05-2026,Chennai,560
14-05-2026,Chennai,562
15-05-2026,Chennai,562
16-05-2026,Chennai,568
17-05-2026,Chennai,565
18-05-2026,Chennai,551
19-05-2026,Chennai,563
20-05-2026,Chennai,562
21-05-2026,Chennai,557
22-05-2026,Chennai,563
23-05-2026,Chennai,557
24-05-2026,Chennai,571
25-05-2026,Chennai,559
26-05-2026,Chennai,565
27-05-2026,Chennai,561
28-05-2026,Chennai,570
29-05-2026,Chennai,574
30-05-2026,Chennai,569
31-05-2026,Chennai,568
01-06-2026,Chennai,573
02-06-2026,Chennai,577
03-06-2026,Chennai,574
04-06-2026,Chennai,573
05-06-2026,Chennai,570
06-06-2026,Chennai,568
07-06-2026,Chennai,576
08-06-2026,Chennai,588
09-06-2026,Chennai,578
10-06-2026,Chennai,563
11-06-2026,Chennai,598
12-06-2026,Chennai,584
13-06-2026,Chennai,587
14-06-2026,Chennai,582
15-06-2026,Chennai,588
16-06-2026,Chennai,595
17-06-2026,Chennai,588
18-06-2026,Chennai,581
19-06-2026,Chennai,585
20-06-2026,Chennai,588
21-06-2026,Chennai,589
22-06-2026,Chennai,584
23-06-2026,Chennai,596
24-06-2026,Chennai,597
25-06-2026,Chennai,584
26-06-2026,Chennai,588
27-06-2026,Chennai,593
28-06-2026,Chennai,590
29-06-2026,Chennai,602
30-06-2026,Chennai,591
01-07-2026,Chennai,591
02-07-2026,Chennai,596
03-07-2026,Chennai,598
04-07-2026,Chennai,595
05-07-2026,Chennai,597
06-07-2026,Chennai,601
07-07-2026,Chennai,599
08-07-2026,Chennai,603
09-07-2026,Chennai,607
10-07-2026,Chennai,594
11-07-2026,Chennai,602
12-07-2026,Chennai,610
13-07-2026,Chennai,615
14-07-2026,Chennai,600
15-07-2026,Chennai,601
16-07-2026,Chennai,602
17-07-2026,Chennai,609
18-07-2026,Chennai,609
19-07-2026,Chennai,612
20-07-2026,Chennai,599
21-07-2026,Chennai,623
22-07-2026,Chennai,610
23-07-2026,Chennai,614
24-07-2026,Chennai,601
25-07-2026,Chennai,605
26-07-2026,Chennai,608
27-07-2026,Chennai,610
28-07-2026,Chennai,613
29-07-2026,Chennai,614
30-07-2026,Chennai,614
31-07-2026,Chennai,609
01-08-2026,Chennai,610
02-08-2026,Chennai,608
03-08-2026,Chennai,620
04-08-2026,Chennai,618
05-08-2026,Chennai,608
06-08-2026,Chennai,618
07-08-2026,Chennai,611
08-08-2026,Chennai,619
09-08-2026,Chennai,606
10-08-2026,Chennai,622
