Arrival_Date,Commodity,Commodity_Code,District,Grade,Market,Max_Price,Min_Price,Modal_Price,State,Variety
11/08/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3326,2100,2713.0,Tamil Nadu,Other
15/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3154,2004,2579.0,Tamil Nadu,Other
25/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3201,2240,2720.5,Tamil Nadu,Other
24/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3226,2332,2779.0,Tamil Nadu,Other
22/06/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3109,3109,3109.0,Tamil Nadu,Other
15/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3334,2238,2786.0,Tamil Nadu,Other
23/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3453,2581,3017.0,Tamil Nadu,Other
29/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3785,1745,2765.0,Tamil Nadu,Other
18/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3756,1693,2724.5,Tamil Nadu,Other
02/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3341,2564,2952.5,Tamil Nadu,Other
06/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3354,2133,2743.5,Tamil Nadu,Other
10/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3401,2278,2839.5,Tamil Nadu,Other
17/07/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3550,3300,3425.0,Tamil Nadu,Other
13/08/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3600,3600,3600.0,Tamil Nadu,Other
16/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3169,1830,2499.5,Tamil Nadu,Other
29/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3317,2252,2784.5,Tamil Nadu,Other
18/06/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3252,2281,2766.5,Tamil Nadu,Other
16/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3214,1977,2595.5,Tamil Nadu,Other
20/07/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3448,2624,3036.0,Tamil Nadu,Other
05/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3781,1665,2723.0,Tamil Nadu,Other
11/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3768,1468,2618.0,Tamil Nadu,Other
19/08/2026,Paddy(Common),2,Vellore,Local,Ammoor APMC,3666,1492,2579.0,Tamil Nadu,Other
09/07/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,2509,2509,2509.0,Tamil Nadu,Other
13/07/2026,Ragi(Finger Millet),30,Vellore,Local,Ammoor APMC,3500,2800,3150.0,Tamil Nadu,Other
10/07/2026,Paddy(Common),2,Vellore,Local,Arcot APMC,1360,1250,1305.0,Tamil Nadu,Other
14/07/2026,Paddy(Common),2,Vellore,Local,Arcot APMC,1400,1200,1300.0,Tamil Nadu,Other
17/07/2026,Paddy(Common),2,Vellore,Local,Arcot APMC,1400,1200,1300.0,Tamil Nadu,Other
19/06/2026,Ragi(Finger Millet),30,Vellore,Local,Arcot APMC,3600,3500,3550.0,Tamil Nadu,Other
03/07/2026,Paddy(Common),2,Vellore,Local,Arcot APMC,1360,1200,1280.0,Tamil Nadu,Other
14/08/2026,Paddy(Common),2,Vellore,Local,Arcot APMC,1700,1500,1600.0,Tamil Nadu,Other
06/07/2026,Paddy(Common),2,Vellore,Local,Arcot APMC,1400,1200,1300.0,Tamil Nadu,Other
07/08/2026,Paddy(Common),2,Vellore,Local,Arcot APMC,1500,1300,1400.0,Tamil Nadu,Other
05/08/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1333,1266,1299.5,Tamil Nadu,Other
07/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,2000,1867,1933.5,Tamil Nadu,ADT 37
22/06/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1667,1600,1633.5,Tamil Nadu,Other
23/06/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,2000,1867,1933.5,Tamil Nadu,Other
24/06/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1667,1600,1633.5,Tamil Nadu,Other
31/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1666,1566,1616.0,Tamil Nadu,Other
04/08/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1666,1600,1633.0,Tamil Nadu,Other
12/08/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1733,1633,1683.0,Tamil Nadu,Other
18/08/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1666,1630,1648.0,Tamil Nadu,Other
17/06/2026,Bajra(Pearl Millet/Cumbu),28,Vellore,Local,Gudiyatham APMC,3000,2900,2950.0,Tamil Nadu,Other
09/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,2000,1933,1966.5,Tamil Nadu,Other
14/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1667,1600,1633.5,Tamil Nadu,Other
23/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,2000,1933,1966.5,Tamil Nadu,Other
10/08/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,2000,1950,1975.0,Tamil Nadu,Other
03/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1333,1267,1300.0,Tamil Nadu,Other
08/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1667,1600,1633.5,Tamil Nadu,Other
06/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,1667,1600,1633.5,Tamil Nadu,Other
30/07/2026,Paddy(Common),2,Vellore,Local,Gudiyatham APMC,2000,1900,1950.0,Tamil Nadu,Other
10/07/2026,Ragi(Finger Millet),30,Vellore,Local,Gudiyatham APMC,3050,2860,2955.0,Tamil Nadu,Other
24/07/2026,Ragi(Finger Millet),30,Vellore,Local,Gudiyatham APMC,2500,2450,2475.0,Tamil Nadu,Other
22/06/2026,Ginger(Green),103,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),15000,15000,15000.0,Tamil Nadu,Green Ginger
28/06/2026,Ginger(Green),103,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),23000,23000,23000.0,Tamil Nadu,Green Ginger
24/06/2026,Ginger(Green),103,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),15000,15000,15000.0,Tamil Nadu,Green Ginger
30/06/2026,Ginger(Green),103,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),21000,21000,21000.0,Tamil Nadu,Green Ginger
27/06/2026,Ginger(Green),103,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),21000,21000,21000.0,Tamil Nadu,Green Ginger
18/06/2026,Ginger(Green),103,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),15000,15000,15000.0,Tamil Nadu,Green Ginger
29/06/2026,Green Chilli,87,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5600,5600,5600.0,Tamil Nadu,Green Chilly
28/06/2026,Green Chilli,87,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Green Chilly
19/06/2026,Green Chilli,87,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Green Chilly
23/06/2026,Green Chilli,87,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Green Chilly
27/06/2026,Bitter gourd,81,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Bitter Gourd
29/06/2026,Papaya,72,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2500,2500,2500.0,Tamil Nadu,Papaya
15/06/2026,Bottle gourd,82,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),1800,1800,1800.0,Tamil Nadu,Bottle Gourd
19/06/2026,Cluster beans,80,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Cluster Beans
21/06/2026,Bottle gourd,82,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2400,2400,2400.0,Tamil Nadu,Bottle Gourd
20/06/2026,Bottle gourd,82,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2400,2400,2400.0,Tamil Nadu,Bottle Gourd
27/06/2026,Cluster beans,80,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Cluster Beans
19/06/2026,Bitter gourd,81,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Bitter Gourd
16/06/2026,Papaya,72,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2500,2500,2500.0,Tamil Nadu,Papaya
22/06/2026,Garlic,25,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),19000,19000,19000.0,Tamil Nadu,Garlic
21/06/2026,Thondekai,162,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Thondekai
16/06/2026,Thondekai,162,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Thondekai
15/06/2026,Groundnut,10,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),7600,7600,7600.0,Tamil Nadu,Big (With Shell)
30/06/2026,Onion,23,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3500,3500,3500.0,Tamil Nadu,Bellary
26/06/2026,Onion,23,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3000,3000,3000.0,Tamil Nadu,Bellary
20/06/2026,Lime,180,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3500,3000,3250.0,Tamil Nadu,Lime
26/06/2026,Lime,180,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3000,3000,3000.0,Tamil Nadu,Lime
15/06/2026,Knool Khol,177,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4500,4500,4500.0,Tamil Nadu,Knool Khol
23/06/2026,Knool Khol,177,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Knool Khol
21/06/2026,Guava,185,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4500,4500,4500.0,Tamil Nadu,Guava Allahabad
28/06/2026,Guava,185,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Guava Allahabad
30/06/2026,Guava,185,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4500,4500,4500.0,Tamil Nadu,Guava Allahabad
27/06/2026,Guava,185,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4500,4500,4500.0,Tamil Nadu,Guava Allahabad
16/06/2026,Guava,185,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4500,4500,4500.0,Tamil Nadu,Guava Allahabad
15/06/2026,Guava,185,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4500,4500,4500.0,Tamil Nadu,Guava Allahabad
15/06/2026,Cabbage,154,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Cabbage
16/06/2026,Cabbage,154,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Cabbage
23/06/2026,Cabbage,154,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Cabbage
24/06/2026,Cabbage,154,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Cabbage
30/06/2026,Cabbage,154,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Cabbage
26/06/2026,Cabbage,154,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Cabbage
21/06/2026,Sweet Potato,152,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3000,3000,3000.0,Tamil Nadu,Hosur Red
24/06/2026,Sweet Potato,152,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3000,3000,3000.0,Tamil Nadu,Hosur Red
29/06/2026,Sweet Potato,152,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3000,3000,3000.0,Tamil Nadu,Hosur Red
15/06/2026,Green Avare(W),165,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),9600,9600,9600.0,Tamil Nadu,Green Avare (W)
18/06/2026,Green Avare(W),165,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),10000,9000,9500.0,Tamil Nadu,Green Avare (W)
20/06/2026,Drumstick,168,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),7600,7600,7600.0,Tamil Nadu,Drumstick
23/06/2026,Beetroot,157,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Beetroot
30/06/2026,Green Avare(W),165,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6600,6600,6600.0,Tamil Nadu,Green Avare (W)
26/06/2026,Beetroot,157,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Beetroot
16/06/2026,Chow Chow,167,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Chow Chow
18/06/2026,Tamarind Fruit,261,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),10000,10000,10000.0,Tamil Nadu,Tamarind Fruit
22/06/2026,Tamarind Fruit,261,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),10000,10000,10000.0,Tamil Nadu,Tamarind Fruit
28/06/2026,Tamarind Fruit,261,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),9000,9000,9000.0,Tamil Nadu,Tamarind Fruit
29/06/2026,Tamarind Fruit,261,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),9000,9000,9000.0,Tamil Nadu,Tamarind Fruit
21/06/2026,Rose(Local),374,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),16000,16000,16000.0,Tamil Nadu,Rose (Local)
23/06/2026,Rose(Local),374,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),14000,14000,14000.0,Tamil Nadu,Rose (Local)
26/06/2026,Rose(Local),374,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),20000,20000,20000.0,Tamil Nadu,Rose (Local)
26/06/2026,Banana - Green,90,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3500,3500,3500.0,Tamil Nadu,Banana - Green
26/06/2026,Groundnut,10,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),7600,7600,7600.0,Tamil Nadu,Big (With Shell)
27/06/2026,Chow Chow,167,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Chow Chow
19/06/2026,Drumstick,168,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),9000,9000,9000.0,Tamil Nadu,Drumstick
28/06/2026,Green Avare(W),165,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6600,6600,6600.0,Tamil Nadu,Green Avare (W)
25/06/2026,Green Avare(W),165,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),8000,8000,8000.0,Tamil Nadu,Green Avare (W)
29/06/2026,Green Avare(W),165,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),7600,7600,7600.0,Tamil Nadu,Green Avare (W)
25/06/2026,Drumstick,168,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6600,6600,6600.0,Tamil Nadu,Drumstick
29/06/2026,Beetroot,157,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Beetroot
25/06/2026,Coriander(Leaves),43,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4500,4500,4500.0,Tamil Nadu,I Sort
16/06/2026,Banana,19,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Karpura
24/06/2026,Banana,19,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Karpura
28/06/2026,Banana,19,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Karpura
17/06/2026,Mango(Raw-Ripe),172,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),1200,1200,1200.0,Tamil Nadu,Mango - Raw-Ripe
19/06/2026,Mango(Raw-Ripe),172,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),1000,1000,1000.0,Tamil Nadu,Mango - Raw-Ripe
20/06/2026,Mango(Raw-Ripe),172,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),1000,1000,1000.0,Tamil Nadu,Mango - Raw-Ripe
30/06/2026,Mango(Raw-Ripe),172,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),1200,1200,1200.0,Tamil Nadu,Mango - Raw-Ripe
26/06/2026,Mango(Raw-Ripe),172,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),1500,1000,1250.0,Tamil Nadu,Mango - Raw-Ripe
27/06/2026,Mango(Raw-Ripe),172,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),1500,1500,1500.0,Tamil Nadu,Mango - Raw-Ripe
21/06/2026,Tender Coconut,200,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2500,2500,2500.0,Tamil Nadu,Tender Coconut
24/06/2026,Potato,24,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3000,3000,3000.0,Tamil Nadu,Red Nanital
30/06/2026,Potato,24,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3000,3000,3000.0,Tamil Nadu,Red Nanital
18/06/2026,Brinjal,35,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),7600,7000,7300.0,Tamil Nadu,Other
25/06/2026,Brinjal,35,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),7600,7600,7600.0,Tamil Nadu,Other
27/06/2026,Chikoos(Sapota),71,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Sapota
23/06/2026,Onion Green,358,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6000,6000,6000.0,Tamil Nadu,Onion Green
28/06/2026,Onion Green,358,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6000,6000,6000.0,Tamil Nadu,Onion Green
25/06/2026,Onion Green,358,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6000,6000,6000.0,Tamil Nadu,Onion Green
26/06/2026,Onion Green,358,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6000,6000,6000.0,Tamil Nadu,Onion Green
24/06/2026,Amla(Nelli Kai),355,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),10000,10000,10000.0,Tamil Nadu,Amla
24/06/2026,Coriander(Leaves),43,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4500,4500,4500.0,Tamil Nadu,I Sort
16/06/2026,Cowpea(Veg),89,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Cowpea (Veg)
18/06/2026,Cowpea(Veg),89,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Cowpea (Veg)
21/06/2026,Cowpea(Veg),89,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Cowpea (Veg)
25/06/2026,Beans,94,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),8000,8000,8000.0,Tamil Nadu,Beans (Whole)
30/06/2026,Beans,94,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6600,6600,6600.0,Tamil Nadu,Beans (Whole)
29/06/2026,Beans,94,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),6600,6600,6600.0,Tamil Nadu,Beans (Whole)
16/06/2026,Yam(Ratalu),297,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Yam (Ratalu)
19/06/2026,Yam(Ratalu),297,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Yam (Ratalu)
20/06/2026,Yam(Ratalu),297,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Yam (Ratalu)
15/06/2026,Pumpkin,84,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2500,2500,2500.0,Tamil Nadu,Pumpkin
16/06/2026,Pumpkin,84,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2400,2400,2400.0,Tamil Nadu,Pumpkin
19/06/2026,Pumpkin,84,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2400,2400,2400.0,Tamil Nadu,Pumpkin
25/06/2026,Pumpkin,84,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2400,2400,2400.0,Tamil Nadu,Pumpkin
15/06/2026,Tomato,78,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),3000,2500,2750.0,Tamil Nadu,Deshi
26/06/2026,Pumpkin,84,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2400,2400,2400.0,Tamil Nadu,Pumpkin
27/06/2026,Pumpkin,84,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2400,2400,2400.0,Tamil Nadu,Pumpkin
20/06/2026,Tomato,78,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2500,2000,2250.0,Tamil Nadu,Deshi
23/06/2026,Tomato,78,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),2000,1500,1750.0,Tamil Nadu,Deshi
15/06/2026,Beans,94,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),8600,8600,8600.0,Tamil Nadu,Beans (Whole)
16/06/2026,Beans,94,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),9000,9000,9000.0,Tamil Nadu,Beans (Whole)
23/06/2026,Beans,94,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),8600,8600,8600.0,Tamil Nadu,Beans (Whole)
18/06/2026,Banana,19,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),5000,5000,5000.0,Tamil Nadu,Poovan
15/06/2026,Marigold(Calcutta),235,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),25000,25000,25000.0,Tamil Nadu,Marigold(Calcutta)
20/06/2026,Marigold(Calcutta),235,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),30000,30000,30000.0,Tamil Nadu,Marigold(Calcutta)
22/06/2026,Marigold(Calcutta),235,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),30000,30000,30000.0,Tamil Nadu,Marigold(Calcutta)
16/06/2026,Colacasia,318,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Colacasia
22/06/2026,Colacasia,318,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Colacasia
28/06/2026,Colacasia,318,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4600,4600,4600.0,Tamil Nadu,Colacasia
23/06/2026,Mint(Pudina),360,Vellore,Local,Gudiyatham(Uzhavar Sandhai ),4000,4000,4000.0,Tamil Nadu,Mint(Pudina)
